model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Qwen2.5-1.5B-Instruct,final_token,S1_3P,14,0.8734999999999999,0.787,0.04220781918081056
Qwen2.5-1.5B-Instruct,final_token,S1_3P,15,0.9019999999999999,0.7849999999999999,0.025069902273443356
Qwen2.5-1.5B-Instruct,final_token,S1_3P,16,0.891,0.7875,0.03382306905057556
Qwen2.5-1.5B-Instruct,final_token,S1_3P,17,0.8805,0.8029999999999999,0.054758560974517936
Qwen2.5-1.5B-Instruct,final_token,S1_3P,18,0.8674999999999999,0.8065,0.0533151010502653
Qwen2.5-1.5B-Instruct,final_token,S1_3P,19,0.8560000000000001,0.8084999999999999,0.051004901725226356
Qwen2.5-1.5B-Instruct,final_token,S1_3P,20,0.8734999999999999,0.8135,0.05063595560468867
Qwen2.5-1.5B-Instruct,final_token,S1_3P,21,0.8655000000000002,0.8230000000000001,0.035825968235345715
Qwen2.5-1.5B-Instruct,final_token,S1_3P,22,0.858,0.8150000000000001,0.031080540535840126
Qwen2.5-1.5B-Instruct,final_token,S1_3P,23,0.8699999999999999,0.8195,0.031104662029991546
Qwen2.5-1.5B-Instruct,final_token,S1_3P,24,0.8895,0.8130000000000001,0.020457272545478803
Qwen2.5-1.5B-Instruct,final_token,S1_3P,25,0.891,0.8145,0.02244994432064361
Qwen2.5-1.5B-Instruct,final_token,S1_3P,26,0.8699999999999999,0.813,0.039083244491725615
Qwen2.5-1.5B-Instruct,final_token,S1_3P,27,0.8875,0.8030000000000002,0.02018662923818637
Qwen2.5-1.5B-Instruct,mean,S2_1P,0,0.8865000000000001,0.834,0.027865749586185595
Qwen2.5-1.5B-Instruct,mean,S2_1P,1,0.8655000000000002,0.765,0.03087879531328903
Qwen2.5-1.5B-Instruct,mean,S2_1P,2,0.8620000000000001,0.7585,0.0382883794381533
Qwen2.5-1.5B-Instruct,mean,S2_1P,3,0.8815000000000002,0.7705000000000001,0.04004996878900155
