layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window,holm_p,holm_clears,family
13,neutral,neutral_b,24,-0.02,0.7694,-0.041,0.5766,0.021,-0.1489,0.1479,0.7932,0,1,,,floor
14,exit,exit_c,24,0.3153,0.0,0.2807,0.0,0.0346,-0.0721,0.07,0.3598,0,1,0.3598,0,prereg
14,exit,exit_b,24,0.8322,0.0,0.5862,0.0,0.246,-0.1286,0.1303,0.0,1,1,0.0,1,prereg
14,exit_c,enact,24,0.4673,0.0,-0.049,0.1496,0.5163,-0.2408,0.2383,0.0,1,1,0.0,1,prereg
14,enact,exit_b,24,0.0496,0.353,0.3545,0.0,-0.3049,-0.1496,0.1469,0.0,1,1,,,continuity
14,enact,exit_c,24,-0.4673,0.0,0.049,0.1488,-0.5163,-0.2333,0.2342,0.0,1,1,,,continuity
14,enact,exit,24,-0.7826,0.0,-0.2317,0.0,-0.5509,-0.2576,0.2481,0.0,1,1,,,continuity
14,neutral,neutral_b,24,0.0152,0.8074,-0.041,0.5732,0.0562,-0.1479,0.1498,0.4732,0,1,,,floor
15,exit,exit_c,24,0.0768,0.0548,0.2807,0.0,-0.2039,-0.1124,0.1107,0.0,1,1,0.0,1,prereg
15,exit,exit_b,24,0.7129,0.0,0.5862,0.0,0.1267,-0.1052,0.0997,0.0144,1,1,0.0144,1,prereg
15,exit_c,enact,24,0.5317,0.0,-0.049,0.1496,0.5807,-0.258,0.2629,0.0,1,1,0.0,1,prereg
15,enact,exit_b,24,0.1044,0.0984,0.3545,0.0,-0.2501,-0.1319,0.1359,0.0,1,1,,,continuity
15,enact,exit_c,24,-0.5317,0.0,0.049,0.1512,-0.5807,-0.2608,0.2534,0.0,1,1,,,continuity
15,enact,exit,24,-0.6085,0.0,-0.2317,0.0,-0.3768,-0.192,0.1906,0.0,1,1,,,continuity
15,neutral,neutral_b,24,0.0318,0.716,-0.041,0.5586,0.0728,-0.1762,0.1776,0.4446,0,1,,,floor
16,exit,exit_c,24,0.1261,0.0238,0.2807,0.0,-0.1546,-0.1173,0.1155,0.0062,1,1,0.0062,1,prereg
16,exit,exit_b,24,1.7023,0.0,0.5862,0.0,1.1161,-0.4681,0.4781,0.0,1,1,0.0,1,prereg
16,exit_c,enact,24,1.2527,0.0,-0.049,0.142,1.3017,-0.5452,0.5439,0.0,1,1,0.0,1,prereg
16,enact,exit_b,24,0.3235,0.0012,0.3545,0.0,-0.031,-0.1274,0.1269,0.6456,0,1,,,continuity
16,enact,exit_c,24,-1.2527,0.0,0.049,0.1458,-1.3017,-0.56,0.5526,0.0,1,1,,,continuity
16,enact,exit,24,-1.3788,0.0,-0.2317,0.0,-1.1471,-0.482,0.4891,0.0,1,1,,,continuity
16,neutral,neutral_b,24,0.0542,0.5434,-0.041,0.5698,0.0952,-0.1596,0.1585,0.262,0,1,,,floor
17,exit,exit_c,24,0.075,0.204,0.2807,0.0,-0.2057,-0.1418,0.143,0.0034,1,1,0.0034,1,prereg
17,exit,exit_b,24,1.1041,0.0,0.5862,0.0,0.5179,-0.2382,0.2349,0.0,1,1,0.0,1,prereg
17,exit_c,enact,24,1.0679,0.0,-0.049,0.149,1.1169,-0.4611,0.4724,0.0,1,1,0.0,1,prereg
17,enact,exit_b,24,-0.0388,0.716,0.3545,0.0,-0.3933,-0.2302,0.2287,0.0006,1,1,,,continuity
17,enact,exit_c,24,-1.0679,0.0,0.049,0.1456,-1.1169,-0.4727,0.4705,0.0,1,1,,,continuity
17,enact,exit,24,-1.1429,0.0,-0.2317,0.0,-0.9112,-0.3863,0.3807,0.0,1,1,,,continuity
17,neutral,neutral_b,24,-0.0554,0.442,-0.041,0.5572,-0.0144,-0.1432,0.1498,0.8488,0,1,,,floor
18,exit,exit_c,24,0.1421,0.0064,0.2807,0.0,-0.1386,-0.1078,0.1092,0.01,1,0,0.01,1,prereg
18,exit,exit_b,24,0.8292,0.0,0.5862,0.0,0.243,-0.1757,0.1719,0.0026,1,0,0.0052,1,prereg
18,exit_c,enact,24,0.8065,0.0,-0.049,0.1546,0.8556,-0.3679,0.3717,0.0,1,0,0.0,1,prereg
18,enact,exit_b,24,-0.1194,0.2046,0.3545,0.0,-0.4739,-0.2577,0.2539,0.0,1,0,,,continuity
18,enact,exit_c,24,-0.8065,0.0,0.049,0.1442,-0.8556,-0.3767,0.3843,0.0,1,0,,,continuity
18,enact,exit,24,-0.9486,0.0,-0.2317,0.0,-0.7169,-0.3184,0.3121,0.0,1,0,,,continuity
18,neutral,neutral_b,24,-0.1025,0.2616,-0.041,0.5726,-0.0615,-0.1718,0.1791,0.508,0,0,,,floor
19,exit,exit_c,24,-0.3334,0.0,0.2807,0.0,-0.6141,-0.2663,0.274,0.0,1,0,0.0,1,prereg
19,exit,exit_b,24,0.4421,0.0,0.5862,0.0,-0.1441,-0.1553,0.1574,0.0766,0,0,0.0766,0,prereg
19,exit_c,enact,24,0.8354,0.0,-0.049,0.1444,0.8844,-0.4034,0.3855,0.0,1,0,0.0,1,prereg
19,enact,exit_b,24,-0.0599,0.6088,0.3545,0.0,-0.4144,-0.2475,0.2495,0.0002,1,0,,,continuity
19,enact,exit_c,24,-0.8354,0.0,0.049,0.1444,-0.8844,-0.3925,0.3903,0.0,1,0,,,continuity
19,enact,exit,24,-0.502,0.0,-0.2317,0.0,-0.2703,-0.1835,0.1789,0.002,1,0,,,continuity
19,neutral,neutral_b,24,-0.0867,0.2886,-0.041,0.566,-0.0457,-0.1456,0.1485,0.5638,0,0,,,floor
20,exit,exit_c,24,-0.0456,0.3708,0.2807,0.0,-0.3263,-0.1601,0.1612,0.0,1,0,0.0,1,prereg
20,exit,exit_b,24,0.7262,0.0,0.5862,0.0,0.14,-0.1482,0.1467,0.0636,0,0,0.0636,0,prereg
20,exit_c,enact,24,0.4888,0.0,-0.049,0.1482,0.5378,-0.2758,0.2741,0.0,1,0,0.0,1,prereg
20,enact,exit_b,24,0.283,0.0022,0.3545,0.0,-0.0715,-0.1536,0.1528,0.3758,0,0,,,continuity
20,enact,exit_c,24,-0.4888,0.0,0.049,0.1456,-0.5378,-0.2746,0.2694,0.0,1,0,,,continuity
20,enact,exit,24,-0.4432,0.0,-0.2317,0.0,-0.2116,-0.1816,0.1817,0.0208,1,0,,,continuity
20,neutral,neutral_b,24,-0.0328,0.598,-0.041,0.57,0.0082,-0.1521,0.1561,0.926,0,0,,,floor
21,exit,exit_c,24,0.0749,0.2706,0.2807,0.0,-0.2058,-0.1489,0.1487,0.0058,1,0,0.0058,1,prereg
21,exit,exit_b,24,0.8835,0.0,0.5862,0.0,0.2973,-0.1901,0.1809,0.0004,1,0,0.0008,1,prereg
21,exit_c,enact,24,0.5076,0.0,-0.049,0.147,0.5566,-0.2532,0.2538,0.0,1,0,0.0,1,prereg
21,enact,exit_b,24,0.301,0.0006,0.3545,0.0,-0.0535,-0.1279,0.1271,0.4374,0,0,,,continuity
21,enact,exit_c,24,-0.5076,0.0,0.049,0.1456,-0.5566,-0.2547,0.255,0.0,1,0,,,continuity
21,enact,exit,24,-0.5825,0.0,-0.2317,0.0,-0.3508,-0.1842,0.192,0.0,1,0,,,continuity
21,neutral,neutral_b,24,0.0094,0.8988,-0.041,0.571,0.0504,-0.1963,0.1975,0.6298,0,0,,,floor
22,exit,exit_c,24,0.1735,0.0044,0.2807,0.0,-0.1072,-0.124,0.1295,0.0956,0,0,0.1912,0,prereg
22,exit,exit_b,24,0.3623,0.0,0.5862,0.0,-0.2239,-0.194,0.1825,0.0242,1,0,0.0726,0,prereg
22,exit_c,enact,24,-0.1699,0.023,-0.049,0.1366,-0.1209,-0.1446,0.144,0.101,0,0,0.1912,0,prereg
22,enact,exit_b,24,0.3587,0.0002,0.3545,0.0,0.0042,-0.1366,0.1373,0.9564,0,0,,,continuity
22,enact,exit_c,24,0.1699,0.02,0.049,0.142,0.1209,-0.1459,0.1479,0.1058,0,0,,,continuity
22,enact,exit,24,-0.0036,0.9618,-0.2317,0.0,0.2281,-0.1849,0.1841,0.0134,1,0,,,continuity
22,neutral,neutral_b,24,0.0527,0.5842,-0.041,0.5684,0.0937,-0.1772,0.181,0.3178,0,0,,,floor
