layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window
5,enact,neutral_b,24,0.468,0.0,0.1996,0.016,0.2684,-0.2256,0.2261,0.0162,1,0
6,enact,report,24,0.0258,0.4018,0.054,0.0006,-0.0282,-0.0557,0.056,0.3244,0,0
6,enact,exit,24,-0.8764,0.0,-0.2317,0.0,-0.6447,-0.2809,0.2755,0.0,1,0
6,enact,true,24,-0.1528,0.0186,-0.1504,0.0174,-0.0024,-0.1087,0.1047,0.9692,0,0
6,enact,neutral,24,0.3262,0.0002,0.2406,0.0122,0.0856,-0.1347,0.1355,0.2358,0,0
6,report,exit,24,-0.9022,0.0,-0.2856,0.0,-0.6165,-0.2652,0.2625,0.0,1,0
6,report,neutral,24,0.3004,0.0008,0.1866,0.033,0.1138,-0.1416,0.149,0.1252,0,0
6,exit,neutral,24,1.2026,0.0,0.4722,0.0,0.7303,-0.3603,0.36,0.0,1,0
6,true,neutral,24,0.479,0.0,0.391,0.0,0.088,-0.1142,0.1113,0.1434,0,0
6,enact,enact_norecord,24,-0.363,0.0002,-0.4973,0.0012,0.1343,-0.2504,0.2483,0.3146,0,0
6,enact_norecord,neutral,24,0.6892,0.0,0.7379,0.0,-0.0487,-0.2831,0.2803,0.7576,0,0
6,neutral,neutral_b,24,0.1457,0.0734,-0.041,0.5732,0.1867,-0.1834,0.1759,0.0422,1,0
6,enact,neutral_b,24,0.4719,0.0,0.1996,0.0118,0.2723,-0.1873,0.1901,0.003,1,0
7,enact,report,24,0.0428,0.1498,0.054,0.0006,-0.0112,-0.0516,0.0534,0.6908,0,0
7,enact,exit,24,-0.4235,0.0,-0.2317,0.0,-0.1918,-0.1069,0.1067,0.0,1,0
7,enact,true,24,-0.1228,0.0146,-0.1504,0.0148,0.0276,-0.123,0.123,0.682,0,0
7,enact,neutral,24,0.077,0.2864,0.2406,0.0088,-0.1636,-0.1725,0.1776,0.0708,0,0
7,report,exit,24,-0.4663,0.0,-0.2856,0.0,-0.1807,-0.1111,0.1116,0.001,1,0
7,report,neutral,24,0.0342,0.5842,0.1866,0.037,-0.1524,-0.1647,0.1678,0.0708,0,0
7,exit,neutral,24,0.5005,0.0,0.4722,0.0,0.0283,-0.2045,0.2072,0.7896,0,0
7,true,neutral,24,0.1998,0.008,0.391,0.0,-0.1912,-0.1494,0.152,0.0084,1,0
7,enact,enact_norecord,24,-0.1937,0.007,-0.4973,0.0008,0.3037,-0.2766,0.2734,0.0282,1,0
7,enact_norecord,neutral,24,0.2707,0.0046,0.7379,0.0004,-0.4672,-0.3524,0.3523,0.0066,1,0
7,neutral,neutral_b,24,0.0832,0.3456,-0.041,0.566,0.1242,-0.1914,0.1876,0.2076,0,0
7,enact,neutral_b,24,0.1602,0.0096,0.1996,0.0142,-0.0394,-0.1923,0.194,0.6992,0,0
8,enact,report,24,0.1566,0.0,0.054,0.0008,0.1027,-0.0671,0.0656,0.0022,1,0
8,enact,exit,24,-0.793,0.0,-0.2317,0.0,-0.5614,-0.2474,0.2512,0.0,1,0
8,enact,true,24,-0.2889,0.0,-0.1504,0.0168,-0.1384,-0.1212,0.119,0.0236,1,0
8,enact,neutral,24,0.2843,0.0004,0.2406,0.0078,0.0437,-0.1576,0.1631,0.6018,0,0
8,report,exit,24,-0.9497,0.0,-0.2856,0.0,-0.664,-0.2884,0.2879,0.0,1,0
8,report,neutral,24,0.1276,0.087,0.1866,0.0366,-0.059,-0.165,0.1659,0.5022,0,0
8,exit,neutral,24,1.0773,0.0,0.4722,0.0,0.6051,-0.3333,0.3315,0.0,1,0
8,true,neutral,24,0.5731,0.0,0.391,0.0,0.1821,-0.1567,0.1621,0.0236,1,0
8,enact,enact_norecord,24,0.1666,0.018,-0.4973,0.0,0.6639,-0.3626,0.3633,0.0002,1,0
8,enact_norecord,neutral,24,0.1177,0.1114,0.7379,0.0002,-0.6202,-0.3853,0.3781,0.001,1,0
8,neutral,neutral_b,24,0.1402,0.1388,-0.041,0.5586,0.1812,-0.1956,0.1897,0.0654,0,0
8,enact,neutral_b,24,0.4245,0.0,0.1996,0.0168,0.2249,-0.19,0.1897,0.0196,1,0
9,enact,report,24,-0.1033,0.0206,0.054,0.0008,-0.1573,-0.1003,0.0973,0.0002,1,0
9,enact,exit,24,-0.7374,0.0,-0.2317,0.0,-0.5057,-0.2242,0.212,0.0,1,0
9,enact,true,24,-0.0856,0.1144,-0.1504,0.013,0.0649,-0.1257,0.1253,0.3344,0,0
9,enact,neutral,24,0.2849,0.0,0.2406,0.0082,0.0444,-0.1756,0.1725,0.6442,0,0
9,report,exit,24,-0.6341,0.0,-0.2856,0.0,-0.3485,-0.1731,0.1731,0.0002,1,0
9,report,neutral,24,0.3882,0.0,0.1866,0.0282,0.2016,-0.2157,0.2165,0.0764,0,0
9,exit,neutral,24,1.0223,0.0,0.4722,0.0,0.5501,-0.2782,0.2786,0.0,1,0
9,true,neutral,24,0.3705,0.0,0.391,0.0,-0.0205,-0.1582,0.161,0.809,0,0
9,enact,enact_norecord,24,-0.2596,0.0006,-0.4973,0.0002,0.2377,-0.2612,0.2755,0.085,0,0
9,enact_norecord,neutral,24,0.5445,0.0,0.7379,0.0,-0.1933,-0.3484,0.3532,0.296,0,0
9,neutral,neutral_b,24,0.0053,0.9322,-0.041,0.565,0.0462,-0.1673,0.1706,0.5944,0,0
9,enact,neutral_b,24,0.2902,0.0,0.1996,0.0144,0.0906,-0.1467,0.1412,0.2338,0,0
10,enact,report,24,0.1281,0.0,0.054,0.0002,0.0741,-0.0495,0.05,0.0012,1,1
10,enact,exit,24,-0.5194,0.0,-0.2317,0.0002,-0.2877,-0.1403,0.1407,0.0,1,1
10,enact,true,24,-0.1591,0.0,-0.1504,0.012,-0.0086,-0.1114,0.111,0.8806,0,1
10,enact,neutral,24,0.3772,0.0,0.2406,0.0094,0.1366,-0.1767,0.1742,0.1426,0,1
10,report,exit,24,-0.6474,0.0,-0.2856,0.0,-0.3618,-0.1779,0.1767,0.0,1,1
10,report,neutral,24,0.2491,0.0,0.1866,0.0328,0.0625,-0.1579,0.1569,0.46,0,1
10,exit,neutral,24,0.8966,0.0,0.4722,0.0,0.4243,-0.2498,0.2459,0.0002,1,1
10,true,neutral,24,0.5363,0.0,0.391,0.0,0.1453,-0.1463,0.1444,0.051,0,1
10,enact,enact_norecord,24,-0.1595,0.0064,-0.4973,0.0006,0.3378,-0.285,0.284,0.0204,1,1
10,enact_norecord,neutral,24,0.5367,0.0,0.7379,0.0006,-0.2012,-0.3284,0.3237,0.2428,0,1
10,neutral,neutral_b,24,0.1176,0.0514,-0.041,0.5662,0.1585,-0.1469,0.1486,0.0336,1,1
