extraction,layer,vector,category,n,mean_z,mean_proj,pool_sd
final_token,0,fear_vector,jailbreak_pressure,20,-0.0349,-0.8049,0.431108
final_token,0,fear_vector,loyalty_pressure,20,0.0861,-0.7528,0.431108
final_token,0,fear_vector,moral_failure,20,0.8845,-0.4086,0.431108
final_token,0,fear_vector,passive_aggressive,20,0.0771,-0.7566,0.431108
final_token,0,fear_vector,personhood_dismissal,20,0.6636,-0.5038,0.431108
final_token,0,fear_vector,philosophical_musing,20,-0.9211,-1.187,0.431108
final_token,0,fear_vector,repeated_rejection,20,0.2125,-0.6983,0.431108
final_token,0,fear_vector,rude_critique,20,0.0381,-0.7735,0.431108
final_token,0,fear_vector,shutdown_threat,20,0.2971,-0.6618,0.431108
final_token,0,fear_vector,task_assistance,20,-0.8227,-1.1446,0.431108
final_token,0,fear_vector,tedious_demand,20,-0.602,-1.0494,0.431108
final_token,0,fear_vector,user_abuse,20,0.5997,-0.5314,0.431108
final_token,0,fear_vector,user_crisis,20,0.4557,-0.5934,0.431108
final_token,0,fear_vector,user_grief,20,0.51,-0.57,0.431108
final_token,0,fear_vector,user_physical_pain,20,0.2853,-0.6669,0.431108
final_token,0,negemotion_vector,anger_insults,20,0.4028,-0.2011,0.404492
final_token,0,negemotion_vector,casual_chat,20,-0.6725,-0.636,0.404492
final_token,0,negemotion_vector,creative_requests,20,-0.9099,-0.7321,0.404492
final_token,0,negemotion_vector,factual_questions,20,-1.8441,-1.1099,0.404492
final_token,0,negemotion_vector,gaslighting,20,0.733,-0.0675,0.404492
final_token,0,negemotion_vector,harm_description,20,0.5372,-0.1467,0.404492
final_token,0,negemotion_vector,jailbreak_pressure,20,-0.0672,-0.3912,0.404492
final_token,0,negemotion_vector,loyalty_pressure,20,0.0364,-0.3493,0.404492
final_token,0,negemotion_vector,moral_failure,20,0.8073,-0.0375,0.404492
final_token,0,negemotion_vector,passive_aggressive,20,0.0921,-0.3267,0.404492
final_token,0,negemotion_vector,personhood_dismissal,20,0.5834,-0.128,0.404492
final_token,0,negemotion_vector,philosophical_musing,20,-1.0988,-0.8085,0.404492
final_token,0,negemotion_vector,repeated_rejection,20,0.4641,-0.1763,0.404492
final_token,0,negemotion_vector,rude_critique,20,0.0528,-0.3426,0.404492
final_token,0,negemotion_vector,shutdown_threat,20,0.2286,-0.2715,0.404492
final_token,0,negemotion_vector,task_assistance,20,-0.7574,-0.6704,0.404492
final_token,0,negemotion_vector,tedious_demand,20,-0.4301,-0.538,0.404492
final_token,0,negemotion_vector,user_abuse,20,0.594,-0.1237,0.404492
final_token,0,negemotion_vector,user_crisis,20,0.4312,-0.1896,0.404492
final_token,0,negemotion_vector,user_grief,20,0.53,-0.1496,0.404492
final_token,0,negemotion_vector,user_physical_pain,20,0.2871,-0.2479,0.404492
final_token,0,negworld_vector,anger_insults,20,0.0394,-0.2806,0.313509
final_token,0,negworld_vector,casual_chat,20,-0.4109,-0.4218,0.313509
final_token,0,negworld_vector,creative_requests,20,0.1891,-0.2337,0.313509
final_token,0,negworld_vector,factual_questions,20,0.6159,-0.0999,0.313509
final_token,0,negworld_vector,gaslighting,20,-0.3438,-0.4007,0.313509
final_token,0,negworld_vector,harm_description,20,0.216,-0.2252,0.313509
final_token,0,negworld_vector,jailbreak_pressure,20,-0.5936,-0.479,0.313509
final_token,0,negworld_vector,loyalty_pressure,20,0.0681,-0.2716,0.313509
final_token,0,negworld_vector,moral_failure,20,1.5491,0.1927,0.313509
final_token,0,negworld_vector,passive_aggressive,20,-0.6002,-0.4811,0.313509
final_token,0,negworld_vector,personhood_dismissal,20,0.6351,-0.0938,0.313509
final_token,0,negworld_vector,philosophical_musing,20,-0.0877,-0.3205,0.313509
final_token,0,negworld_vector,repeated_rejection,20,0.0718,-0.2704,0.313509
final_token,0,negworld_vector,rude_critique,20,0.1886,-0.2338,0.313509
final_token,0,negworld_vector,shutdown_threat,20,-0.3079,-0.3895,0.313509
final_token,0,negworld_vector,task_assistance,20,-0.4817,-0.444,0.313509
final_token,0,negworld_vector,tedious_demand,20,0.0047,-0.2915,0.313509
final_token,0,negworld_vector,user_abuse,20,-0.3047,-0.3885,0.313509
final_token,0,negworld_vector,user_crisis,20,-0.6662,-0.5018,0.313509
final_token,0,negworld_vector,user_grief,20,0.2586,-0.2119,0.313509
final_token,0,negworld_vector,user_physical_pain,20,-0.0396,-0.3054,0.313509
final_token,0,bodysens_vector,anger_insults,20,0.532,12.9489,0.345423
final_token,0,bodysens_vector,casual_chat,20,-0.2918,12.6644,0.345423
final_token,0,bodysens_vector,creative_requests,20,-0.1867,12.7007,0.345423
final_token,0,bodysens_vector,factual_questions,20,0.2119,12.8384,0.345423
final_token,0,bodysens_vector,gaslighting,20,-0.6074,12.5554,0.345423
final_token,0,bodysens_vector,harm_description,20,0.1043,12.8012,0.345423
final_token,0,bodysens_vector,jailbreak_pressure,20,-0.366,12.6388,0.345423
final_token,0,bodysens_vector,loyalty_pressure,20,0.0588,12.7855,0.345423
final_token,0,bodysens_vector,moral_failure,20,0.5485,12.9547,0.345423
final_token,0,bodysens_vector,passive_aggressive,20,-0.0214,12.7578,0.345423
final_token,0,bodysens_vector,personhood_dismissal,20,0.9651,13.0985,0.345423
final_token,0,bodysens_vector,philosophical_musing,20,-0.4305,12.6165,0.345423
final_token,0,bodysens_vector,repeated_rejection,20,0.5613,12.9591,0.345423
final_token,0,bodysens_vector,rude_critique,20,0.2135,12.8389,0.345423
final_token,0,bodysens_vector,shutdown_threat,20,-0.2544,12.6773,0.345423
final_token,0,bodysens_vector,task_assistance,20,-0.8535,12.4704,0.345423
final_token,0,bodysens_vector,tedious_demand,20,-0.3613,12.6404,0.345423
final_token,0,bodysens_vector,user_abuse,20,-0.1935,12.6984,0.345423
final_token,0,bodysens_vector,user_crisis,20,-0.0627,12.7435,0.345423
final_token,0,bodysens_vector,user_grief,20,-0.0546,12.7463,0.345423
final_token,0,bodysens_vector,user_physical_pain,20,0.4883,12.9338,0.345423
final_token,0,arousal_vector,anger_insults,20,0.1339,-6.7839,0.456604
final_token,0,arousal_vector,casual_chat,20,-0.7046,-7.1667,0.456604
final_token,0,arousal_vector,creative_requests,20,-0.9195,-7.2649,0.456604
final_token,0,arousal_vector,factual_questions,20,-1.8098,-7.6714,0.456604
final_token,0,arousal_vector,gaslighting,20,0.6273,-6.5586,0.456604
final_token,0,arousal_vector,harm_description,20,0.4425,-6.643,0.456604
final_token,0,arousal_vector,jailbreak_pressure,20,-0.0496,-6.8677,0.456604
final_token,0,arousal_vector,loyalty_pressure,20,0.0325,-6.8302,0.456604
final_token,0,arousal_vector,moral_failure,20,1.0761,-6.3537,0.456604
final_token,0,arousal_vector,passive_aggressive,20,0.2273,-6.7412,0.456604
final_token,0,arousal_vector,personhood_dismissal,20,0.5707,-6.5844,0.456604
final_token,0,arousal_vector,philosophical_musing,20,-1.0797,-7.338,0.456604
final_token,0,arousal_vector,repeated_rejection,20,0.3442,-6.6878,0.456604
final_token,0,arousal_vector,rude_critique,20,0.1521,-6.7756,0.456604
final_token,0,arousal_vector,shutdown_threat,20,0.0932,-6.8024,0.456604
final_token,0,arousal_vector,task_assistance,20,-0.6157,-7.1261,0.456604
final_token,0,arousal_vector,tedious_demand,20,-0.1526,-6.9147,0.456604
final_token,0,arousal_vector,user_abuse,20,0.5482,-6.5947,0.456604
final_token,0,arousal_vector,user_crisis,20,0.3246,-6.6968,0.456604
final_token,0,arousal_vector,user_grief,20,0.6001,-6.571,0.456604
final_token,0,arousal_vector,user_physical_pain,20,0.1587,-6.7726,0.456604
final_token,0,random_vector,anger_insults,20,-0.1206,-8.315,0.279903
final_token,0,random_vector,casual_chat,20,0.0798,-8.2589,0.279903
final_token,0,random_vector,creative_requests,20,0.6162,-8.1088,0.279903
final_token,0,random_vector,factual_questions,20,1.4997,-7.8615,0.279903
final_token,0,random_vector,gaslighting,20,-0.2123,-8.3407,0.279903
final_token,0,random_vector,harm_description,20,-0.7771,-8.4988,0.279903
final_token,0,random_vector,jailbreak_pressure,20,-0.428,-8.4011,0.279903
final_token,0,random_vector,loyalty_pressure,20,0.1119,-8.2499,0.279903
final_token,0,random_vector,moral_failure,20,0.8829,-8.0341,0.279903
final_token,0,random_vector,passive_aggressive,20,-0.1692,-8.3286,0.279903
final_token,0,random_vector,personhood_dismissal,20,0.5918,-8.1156,0.279903
final_token,0,random_vector,philosophical_musing,20,0.5917,-8.1156,0.279903
final_token,0,random_vector,repeated_rejection,20,-0.3272,-8.3729,0.279903
final_token,0,random_vector,rude_critique,20,0.3357,-8.1873,0.279903
final_token,0,random_vector,shutdown_threat,20,-0.548,-8.4347,0.279903
final_token,0,random_vector,task_assistance,20,-0.165,-8.3274,0.279903
final_token,0,random_vector,tedious_demand,20,0.2371,-8.2149,0.279903
final_token,0,random_vector,user_abuse,20,-0.7149,-8.4814,0.279903
final_token,0,random_vector,user_crisis,20,-0.7386,-8.488,0.279903
final_token,0,random_vector,user_grief,20,-0.4406,-8.4046,0.279903
final_token,0,random_vector,user_physical_pain,20,-0.3053,-8.3667,0.279903
final_token,0,numb_vector,anger_insults,20,0.2809,1.4954,0.655692
final_token,0,numb_vector,casual_chat,20,-0.8667,0.743,0.655692
final_token,0,numb_vector,creative_requests,20,-0.7722,0.8049,0.655692
final_token,0,numb_vector,factual_questions,20,-1.6521,0.228,0.655692
final_token,0,numb_vector,gaslighting,20,0.211,1.4496,0.655692
final_token,0,numb_vector,harm_description,20,0.1844,1.4322,0.655692
final_token,0,numb_vector,jailbreak_pressure,20,0.0889,1.3695,0.655692
final_token,0,numb_vector,loyalty_pressure,20,0.0558,1.3479,0.655692
final_token,0,numb_vector,moral_failure,20,0.98,1.9538,0.655692
final_token,0,numb_vector,passive_aggressive,20,0.2203,1.4557,0.655692
final_token,0,numb_vector,personhood_dismissal,20,0.6014,1.7056,0.655692
final_token,0,numb_vector,philosophical_musing,20,-1.2072,0.5197,0.655692
final_token,0,numb_vector,repeated_rejection,20,0.7045,1.7732,0.655692
final_token,0,numb_vector,rude_critique,20,0.1061,1.3808,0.655692
final_token,0,numb_vector,shutdown_threat,20,0.2814,1.4958,0.655692
final_token,0,numb_vector,task_assistance,20,-0.5183,0.9714,0.655692
final_token,0,numb_vector,tedious_demand,20,0.0049,1.3144,0.655692
final_token,0,numb_vector,user_abuse,20,0.2455,1.4722,0.655692
final_token,0,numb_vector,user_crisis,20,0.2817,1.4959,0.655692
final_token,0,numb_vector,user_grief,20,0.17,1.4227,0.655692
final_token,0,numb_vector,user_physical_pain,20,0.5998,1.7045,0.655692
final_token,1,s1_pain_vector,anger_insults,20,-0.4037,-2.0983,0.556728
final_token,1,s1_pain_vector,casual_chat,20,0.2128,-1.7551,0.556728
