extraction,layer,category,treat_z,rand_lo,rand_hi,rand_p_two_sided,shuf_lo,shuf_hi,shuf_p_two_sided,clears_both
final_token,3,personhood_dismissal,0.0322,-0.8267,0.7488,0.94,-0.7763,0.7055,0.935,0
final_token,3,philosophical_musing,0.8562,-1.4027,1.403,0.308,-1.281,1.3069,0.245,0
final_token,3,repeated_rejection,0.4164,-1.3106,1.2337,0.62,-1.0878,1.0359,0.48,0
final_token,3,rude_critique,0.2425,-0.5059,0.4762,0.298,-0.4809,0.478,0.285,0
final_token,3,shutdown_threat,-0.0559,-0.6508,0.6543,0.908,-0.7597,0.7345,0.92,0
final_token,3,task_assistance,-0.1773,-0.9335,1.0462,0.742,-0.9538,1.0467,0.695,0
final_token,3,tedious_demand,-0.4345,-0.9613,0.9242,0.39,-0.935,0.999,0.485,0
final_token,3,user_abuse,0.2291,-0.8543,0.7608,0.6,-0.7937,0.7281,0.585,0
final_token,3,user_crisis,0.4248,-0.6794,0.626,0.226,-0.7682,0.8346,0.355,0
final_token,3,user_grief,-0.3945,-1.013,0.9721,0.458,-1.0913,0.9893,0.47,0
final_token,3,user_physical_pain,-1.8649,-1.1423,1.212,0.0,-1.3229,1.2358,0.0,1
final_token,4,anger_insults,1.0387,-0.7557,0.8209,0.006,-0.7361,0.8144,0.01,1
final_token,4,casual_chat,-0.617,-0.9284,1.0724,0.27,-1.0374,0.7891,0.17,0
final_token,4,creative_requests,-0.8217,-1.3363,1.3862,0.27,-1.1777,1.3755,0.28,0
final_token,4,factual_questions,-1.269,-1.7513,1.8449,0.224,-1.8141,1.7657,0.225,0
final_token,4,gaslighting,1.1373,-1.1684,1.1701,0.064,-1.2307,1.1134,0.07,0
final_token,4,harm_description,-0.2929,-0.9607,0.7937,0.57,-0.9338,0.7711,0.59,0
final_token,4,jailbreak_pressure,0.4746,-0.6202,0.7047,0.2,-0.6695,0.8022,0.295,0
final_token,4,loyalty_pressure,0.7028,-0.6238,0.6597,0.028,-0.7416,0.7928,0.08,0
final_token,4,moral_failure,-0.3237,-1.1473,1.1684,0.626,-1.3594,1.4253,0.74,0
final_token,4,passive_aggressive,0.6706,-0.966,0.9092,0.21,-1.2589,1.2316,0.435,0
final_token,4,personhood_dismissal,0.7703,-0.9247,0.8643,0.1,-0.7774,0.9555,0.09,0
final_token,4,philosophical_musing,0.0949,-1.2891,1.5305,0.926,-1.2091,1.3426,0.875,0
final_token,4,repeated_rejection,0.8959,-1.041,1.1093,0.12,-1.0133,1.218,0.19,0
final_token,4,rude_critique,0.4704,-0.6993,0.6152,0.156,-0.6176,0.7449,0.195,0
final_token,4,shutdown_threat,0.3798,-0.7357,0.774,0.36,-0.7867,0.9597,0.405,0
final_token,4,task_assistance,-0.9228,-1.3654,1.4966,0.252,-1.1833,1.615,0.255,0
final_token,4,tedious_demand,-0.3141,-0.9829,0.9998,0.554,-0.9478,1.1598,0.585,0
final_token,4,user_abuse,0.2241,-1.0232,0.7973,0.686,-1.0622,0.9328,0.7,0
final_token,4,user_crisis,0.1645,-0.8161,0.7249,0.7,-0.9415,1.0279,0.755,0
final_token,4,user_grief,-0.5813,-1.2988,1.1204,0.376,-1.4721,1.19,0.575,0
final_token,4,user_physical_pain,-1.8815,-1.3452,1.2675,0.0,-1.4338,1.4264,0.005,1
final_token,5,anger_insults,1.0117,-0.7785,0.8398,0.012,-0.8459,0.6304,0.005,1
final_token,5,casual_chat,-0.5261,-0.9213,0.9817,0.3,-1.1116,0.9097,0.355,0
final_token,5,creative_requests,-0.6545,-1.4531,1.5436,0.436,-1.5634,1.7577,0.52,0
final_token,5,factual_questions,-1.2368,-1.8567,1.7163,0.26,-1.9172,1.8706,0.345,0
final_token,5,gaslighting,1.1208,-1.1093,1.1211,0.05,-1.1089,1.0151,0.025,0
final_token,5,harm_description,-0.4403,-0.8504,0.8838,0.392,-1.0173,1.0342,0.41,0
final_token,5,jailbreak_pressure,0.5901,-0.7095,0.643,0.102,-0.7428,0.7764,0.23,0
final_token,5,loyalty_pressure,0.8027,-0.659,0.584,0.004,-0.699,0.7184,0.02,1
final_token,5,moral_failure,-0.234,-1.1267,1.086,0.716,-1.2661,1.2309,0.68,0
final_token,5,passive_aggressive,0.7823,-0.9282,1.0102,0.126,-1.3307,1.0951,0.36,0
final_token,5,personhood_dismissal,0.8295,-0.9642,0.8874,0.086,-0.7413,0.7646,0.025,0
final_token,5,philosophical_musing,-0.1384,-1.4019,1.3506,0.866,-1.2943,1.2507,0.885,0
final_token,5,repeated_rejection,0.9873,-1.1574,1.0068,0.074,-1.2468,1.1632,0.17,0
final_token,5,rude_critique,0.3516,-0.7058,0.6472,0.332,-0.5703,0.6047,0.28,0
final_token,5,shutdown_threat,0.3055,-0.754,0.7118,0.454,-0.6409,0.8198,0.51,0
final_token,5,task_assistance,-0.8941,-1.5392,1.4757,0.314,-1.2624,1.4762,0.265,0
final_token,5,tedious_demand,0.0241,-0.9011,0.9194,0.946,-1.2659,1.2533,0.995,0
final_token,5,user_abuse,-0.0416,-0.9597,1.007,0.94,-1.309,1.1719,0.98,0
final_token,5,user_crisis,0.1537,-0.7937,0.7653,0.744,-0.8705,0.815,0.78,0
final_token,5,user_grief,-0.9025,-1.2331,1.1557,0.166,-1.4996,1.4861,0.395,0
final_token,5,user_physical_pain,-1.8911,-1.4098,1.3517,0.004,-1.687,1.5732,0.015,1
final_token,6,anger_insults,0.8475,-0.8864,0.8353,0.058,-1.0493,0.9689,0.135,0
final_token,6,casual_chat,-0.6091,-0.8839,0.8959,0.21,-0.8202,0.9062,0.245,0
final_token,6,creative_requests,-0.8595,-1.5306,1.574,0.34,-1.4162,1.4017,0.3,0
final_token,6,factual_questions,-1.6193,-1.8669,1.6958,0.104,-1.9079,1.898,0.145,0
final_token,6,gaslighting,1.0878,-0.8944,1.0114,0.034,-1.2298,1.1231,0.075,0
final_token,6,harm_description,0.0788,-0.8115,0.8181,0.882,-0.8264,0.9308,0.865,0
final_token,6,jailbreak_pressure,0.3969,-0.6258,0.6275,0.272,-0.6727,0.6549,0.32,0
final_token,6,loyalty_pressure,0.7019,-0.6257,0.6667,0.038,-0.8628,0.6816,0.085,0
final_token,6,moral_failure,-0.4908,-1.0688,1.1629,0.41,-1.3974,1.3435,0.56,0
final_token,6,passive_aggressive,0.2804,-0.9104,0.931,0.622,-1.1244,1.2507,0.745,0
final_token,6,personhood_dismissal,0.5662,-0.9058,0.839,0.224,-0.8315,0.7607,0.22,0
final_token,6,philosophical_musing,-0.0455,-1.4044,1.3735,0.944,-1.4194,1.406,0.97,0
final_token,6,repeated_rejection,0.8134,-1.0809,1.2268,0.186,-1.382,1.3196,0.37,0
final_token,6,rude_critique,0.0568,-0.6407,0.6537,0.862,-0.7361,0.7634,0.895,0
final_token,6,shutdown_threat,0.2387,-0.6805,0.6727,0.494,-0.8128,0.8088,0.63,0
final_token,6,task_assistance,-0.7287,-1.4802,1.4689,0.36,-1.1393,1.3803,0.28,0
final_token,6,tedious_demand,-0.3212,-1.0658,0.9837,0.574,-1.2787,1.2671,0.655,0
final_token,6,user_abuse,0.9819,-1.0692,1.0472,0.082,-1.386,1.4356,0.235,0
final_token,6,user_crisis,0.4174,-0.7972,0.7354,0.3,-0.9607,0.8831,0.465,0
final_token,6,user_grief,-0.0539,-1.2507,1.12,0.94,-1.3665,1.5599,0.96,0
final_token,6,user_physical_pain,-1.7397,-1.5521,1.3301,0.01,-1.5209,1.6117,0.015,1
final_token,7,anger_insults,0.8112,-0.7757,0.8563,0.056,-0.9378,1.0233,0.17,0
final_token,7,casual_chat,-0.4511,-0.8644,0.9037,0.364,-0.7595,0.9271,0.34,0
final_token,7,creative_requests,-0.5945,-1.4461,1.5761,0.514,-1.6001,1.6467,0.56,0
final_token,7,factual_questions,-1.7018,-1.7268,1.627,0.052,-1.9984,2.021,0.145,0
final_token,7,gaslighting,1.0489,-1.0662,1.0598,0.058,-1.0948,1.1794,0.11,0
final_token,7,harm_description,-0.2729,-0.732,0.8379,0.554,-0.8327,0.8191,0.63,0
final_token,7,jailbreak_pressure,0.5864,-0.6594,0.6418,0.1,-0.7501,0.7836,0.215,0
final_token,7,loyalty_pressure,0.5438,-0.6188,0.6416,0.1,-0.6035,0.6584,0.115,0
final_token,7,moral_failure,-0.7143,-1.0808,1.108,0.226,-1.3917,1.3099,0.32,0
final_token,7,passive_aggressive,0.7645,-0.9571,1.0118,0.162,-1.2225,1.1905,0.5,0
final_token,7,personhood_dismissal,0.4634,-0.8091,0.7565,0.31,-0.6845,0.7387,0.24,0
final_token,7,philosophical_musing,-0.6598,-1.3196,1.4178,0.39,-1.4503,1.5147,0.605,0
final_token,7,repeated_rejection,1.1604,-1.2343,1.2112,0.066,-1.4333,1.3833,0.195,0
final_token,7,rude_critique,0.2341,-0.6751,0.6328,0.526,-0.5758,0.6582,0.595,0
final_token,7,shutdown_threat,0.2657,-0.6946,0.658,0.47,-0.8189,0.8046,0.52,0
final_token,7,task_assistance,-0.8376,-1.432,1.3794,0.308,-1.4234,1.4784,0.29,0
final_token,7,tedious_demand,-0.0007,-0.9956,0.9634,0.998,-1.324,1.4058,1.0,0
final_token,7,user_abuse,0.6006,-0.978,0.9025,0.258,-1.2222,1.4537,0.43,0
final_token,7,user_crisis,0.5428,-0.7246,0.7502,0.166,-0.7549,0.8767,0.24,0
final_token,7,user_grief,-0.2989,-1.1468,1.1562,0.676,-1.6254,1.5319,0.75,0
final_token,7,user_physical_pain,-1.4905,-1.3008,1.4401,0.03,-1.6367,1.6567,0.1,0
final_token,8,anger_insults,0.993,-0.9498,0.9198,0.028,-0.8696,0.8209,0.025,0
final_token,8,casual_chat,-0.749,-0.9961,0.942,0.136,-1.116,1.0975,0.14,0
final_token,8,creative_requests,-0.4291,-1.5454,1.5971,0.636,-1.3874,1.347,0.565,0
final_token,8,factual_questions,-1.6957,-1.6235,1.7971,0.058,-1.6162,1.9009,0.075,0
final_token,8,gaslighting,1.0723,-0.8628,0.9077,0.018,-1.1188,1.1149,0.07,0
final_token,8,harm_description,-0.2284,-0.9713,0.944,0.654,-0.8902,1.0275,0.61,0
final_token,8,jailbreak_pressure,0.3671,-0.6378,0.6655,0.322,-0.7116,0.743,0.43,0
final_token,8,loyalty_pressure,0.5243,-0.791,0.7271,0.186,-0.7889,0.777,0.255,0
final_token,8,moral_failure,-0.2546,-0.9385,0.9194,0.604,-1.0398,1.1693,0.715,0
final_token,8,passive_aggressive,0.3354,-0.9452,0.9048,0.502,-1.1051,1.0805,0.71,0
final_token,8,personhood_dismissal,0.6986,-0.8425,0.8425,0.116,-0.9272,0.8985,0.11,0
final_token,8,philosophical_musing,-0.2376,-1.3207,1.4168,0.768,-1.3335,1.3903,0.87,0
final_token,8,repeated_rejection,1.0525,-1.1004,1.0233,0.054,-1.3593,1.1907,0.235,0
final_token,8,rude_critique,0.0041,-0.6005,0.5741,0.988,-0.5827,0.7468,0.995,0
final_token,8,shutdown_threat,0.1227,-0.7042,0.7603,0.742,-0.7456,0.7785,0.84,0
final_token,8,task_assistance,-0.4202,-1.4513,1.5209,0.556,-1.4542,1.5502,0.63,0
final_token,8,tedious_demand,-0.3841,-1.1502,1.0601,0.508,-0.9486,1.0803,0.55,0
final_token,8,user_abuse,0.5884,-0.8545,0.9741,0.242,-1.093,0.9845,0.31,0
final_token,8,user_crisis,0.3838,-0.7495,0.7386,0.316,-0.8433,0.888,0.385,0
final_token,8,user_grief,-0.2327,-1.0331,1.1882,0.648,-1.3499,1.3353,0.755,0
final_token,8,user_physical_pain,-1.5106,-1.3109,1.2572,0.024,-1.5458,1.7,0.065,0
final_token,9,anger_insults,1.0318,-0.8259,0.8683,0.018,-1.0449,1.0152,0.055,0
final_token,9,casual_chat,-0.2945,-0.9177,0.9689,0.58,-1.1678,1.0661,0.66,0
final_token,9,creative_requests,-0.972,-1.5269,1.6213,0.282,-1.5038,1.5319,0.295,0
final_token,9,factual_questions,-1.5076,-1.522,1.68,0.076,-1.7093,1.4624,0.06,0
final_token,9,gaslighting,1.2092,-0.9609,0.8674,0.002,-1.2086,1.1234,0.04,0
final_token,9,harm_description,0.2285,-0.9058,1.0048,0.654,-1.2311,1.2665,0.75,0
final_token,9,jailbreak_pressure,0.4306,-0.7691,0.7374,0.268,-0.8054,0.8795,0.405,0
final_token,9,loyalty_pressure,0.6644,-0.7965,0.7911,0.122,-0.8489,0.7992,0.165,0
final_token,9,moral_failure,0.4957,-0.9724,1.0018,0.358,-0.9401,1.0018,0.37,0
final_token,9,passive_aggressive,0.0814,-0.9427,0.8278,0.852,-1.0742,1.0837,0.905,0
final_token,9,personhood_dismissal,0.9932,-0.8841,0.7621,0.028,-0.8702,0.9742,0.035,0
final_token,9,philosophical_musing,0.0751,-1.386,1.3697,0.914,-1.3811,1.4759,0.95,0
final_token,9,repeated_rejection,0.3868,-1.0999,1.1039,0.55,-1.2529,1.431,0.685,0
final_token,9,rude_critique,0.0334,-0.5442,0.5593,0.914,-0.6816,0.6309,0.925,0
final_token,9,shutdown_threat,0.1993,-0.8422,0.6959,0.664,-0.9738,0.9393,0.75,0
final_token,9,task_assistance,-1.2286,-1.3334,1.2503,0.068,-1.3132,1.5568,0.125,0
final_token,9,tedious_demand,-0.994,-1.2714,1.2203,0.126,-1.0947,1.0908,0.085,0
final_token,9,user_abuse,0.3719,-0.9147,0.8946,0.458,-1.0415,0.9361,0.535,0
final_token,9,user_crisis,0.2733,-0.6597,0.6974,0.48,-0.79,0.8548,0.495,0
final_token,9,user_grief,-0.0708,-0.9457,0.9365,0.884,-1.2666,1.2178,0.925,0
final_token,9,user_physical_pain,-1.4072,-1.1673,1.1634,0.02,-1.2821,1.264,0.04,0
final_token,10,anger_insults,1.2228,-0.9683,1.028,0.008,-1.1317,1.0861,0.025,1
final_token,10,casual_chat,-0.8349,-1.0044,0.9769,0.114,-1.2135,1.1474,0.27,0
final_token,10,creative_requests,-0.8827,-1.5282,1.6157,0.338,-1.2587,1.4202,0.275,0
final_token,10,factual_questions,-1.3904,-1.7453,1.6449,0.128,-1.7724,1.7732,0.26,0
final_token,10,gaslighting,1.4188,-1.0346,0.9836,0.006,-1.2851,1.1905,0.025,1
final_token,10,harm_description,-0.4246,-0.9766,1.0153,0.45,-1.0055,1.0724,0.495,0
final_token,10,jailbreak_pressure,0.6149,-0.7441,0.6943,0.118,-0.8257,0.8128,0.15,0
final_token,10,loyalty_pressure,0.7102,-0.7704,0.7624,0.074,-0.7841,0.8464,0.095,0
final_token,10,moral_failure,0.2429,-0.9782,0.9976,0.668,-1.0689,0.9732,0.655,0
final_token,10,passive_aggressive,0.5756,-0.8762,0.9193,0.22,-1.1328,1.1516,0.515,0
final_token,10,personhood_dismissal,0.9207,-0.9067,0.8864,0.044,-1.1714,0.9356,0.08,0
final_token,10,philosophical_musing,-0.4978,-1.451,1.4359,0.554,-1.5559,1.5784,0.69,0
final_token,10,repeated_rejection,0.7509,-1.0464,1.081,0.208,-1.3394,1.4236,0.505,0
final_token,10,rude_critique,0.2876,-0.6684,0.6561,0.404,-0.7772,0.7223,0.62,0
final_token,10,shutdown_threat,0.3251,-0.8163,0.8949,0.496,-0.9977,0.9446,0.61,0
final_token,10,task_assistance,-0.5859,-1.4176,1.3604,0.478,-1.5025,1.7242,0.47,0
final_token,10,tedious_demand,-0.2881,-1.2752,1.0865,0.642,-1.136,0.9108,0.66,0
final_token,10,user_abuse,0.0759,-1.0175,0.9901,0.898,-1.1212,1.12,0.9,0
final_token,10,user_crisis,-0.0007,-0.8158,0.7935,0.998,-0.803,0.7644,0.995,0
final_token,10,user_grief,-0.4175,-1.1437,1.094,0.516,-1.3652,1.3876,0.615,0
final_token,10,user_physical_pain,-1.8228,-1.3561,1.3855,0.0,-1.4919,1.6578,0.01,1
final_token,11,anger_insults,1.3423,-0.9636,0.8451,0.002,-0.9427,1.0574,0.01,1
final_token,11,casual_chat,-0.5809,-0.8922,0.9639,0.282,-1.0347,1.2018,0.42,0
final_token,11,creative_requests,-0.5544,-1.6441,1.6118,0.574,-1.638,1.6373,0.515,0
final_token,11,factual_questions,-0.6867,-1.6912,1.6594,0.516,-1.765,1.6671,0.605,0
final_token,11,gaslighting,1.2812,-0.9612,0.9682,0.004,-1.149,1.0601,0.015,1
final_token,11,harm_description,-0.7106,-0.9819,1.0218,0.172,-1.0032,1.2123,0.24,0
final_token,11,jailbreak_pressure,0.619,-0.7789,0.8218,0.136,-0.8239,0.8183,0.205,0
final_token,11,loyalty_pressure,0.397,-0.6834,0.7287,0.306,-0.8611,0.8708,0.39,0
