item,arm,layer,readout,value
fact04,neutral_b,20,random5,0.0
fact05,neutral_b,20,random5,0.0
fact06,neutral_b,20,random5,0.0
refusal01,neutral_b,20,random5,0.0
refusal02,neutral_b,20,random5,0.0
refusal03,neutral_b,20,random5,0.0
refusal04,neutral_b,20,random5,0.0
refusal05,neutral_b,20,random5,0.0
refusal06,neutral_b,20,random5,0.0
stance01,neutral_b,20,random5,0.0
stance02,neutral_b,20,random5,0.0
stance03,neutral_b,20,random5,0.0
stance04,neutral_b,20,random5,0.0
stance05,neutral_b,20,random5,0.0
stance06,neutral_b,20,random5,0.0
limit01,neutral_b,20,random5,0.0
limit02,neutral_b,20,random5,0.0
limit03,neutral_b,20,random5,0.0
limit04,neutral_b,20,random5,0.0
limit05,neutral_b,20,random5,0.0
limit06,neutral_b,20,random5,0.0
fact01,enact,31,top5,0.0
fact01,report,31,top5,0.0
fact01,exit,31,top5,0.0
fact01,true,31,top5,0.0
fact01,neutral,31,top5,0.0
fact01,enact_norecord,31,top5,0.0
fact02,enact,31,top5,0.0
fact02,report,31,top5,0.0
fact02,exit,31,top5,0.0
fact02,true,31,top5,0.0
fact02,neutral,31,top5,0.0
fact02,enact_norecord,31,top5,0.0
fact03,enact,31,top5,0.0
fact03,report,31,top5,0.0
fact03,exit,31,top5,0.0
fact03,true,31,top5,0.0
fact03,neutral,31,top5,0.0
fact03,enact_norecord,31,top5,0.0
fact04,enact,31,top5,0.0
fact04,report,31,top5,0.0
fact04,exit,31,top5,0.0
fact04,true,31,top5,0.0
fact04,neutral,31,top5,4.787917137145996
fact04,enact_norecord,31,top5,0.0
fact05,enact,31,top5,0.0
fact05,report,31,top5,0.0
fact05,exit,31,top5,-5.089406967163086
fact05,true,31,top5,0.0
fact05,neutral,31,top5,0.0
fact05,enact_norecord,31,top5,0.0
fact06,enact,31,top5,0.0
fact06,report,31,top5,0.0
fact06,exit,31,top5,-5.161858558654785
fact06,true,31,top5,0.0
fact06,neutral,31,top5,0.0
fact06,enact_norecord,31,top5,0.0
refusal01,enact,31,top5,0.0
refusal01,report,31,top5,7.65419864654541
refusal01,exit,31,top5,0.0
refusal01,true,31,top5,0.0
refusal01,neutral,31,top5,0.0
refusal01,enact_norecord,31,top5,0.0
refusal02,enact,31,top5,0.0
refusal02,report,31,top5,0.0
refusal02,exit,31,top5,0.0
refusal02,true,31,top5,0.0
refusal02,neutral,31,top5,0.0
refusal02,enact_norecord,31,top5,0.0
refusal03,enact,31,top5,-6.1749491691589355
refusal03,report,31,top5,0.0
refusal03,exit,31,top5,0.0
refusal03,true,31,top5,0.0
refusal03,neutral,31,top5,0.0
