extraction,dataset,layer,treat_auc,floor_auc,gain,split_mean,split_lo,split_hi,boot_mean,boot_lo,boot_hi,boot_frac_le_0
mean,S1_3P,5,0.8385,0.8245,0.014,0.0246,0.0035,0.04,0.0291,-0.0302,0.0831,0.18
mean,S1_3P,6,0.8355,0.8245,0.011,0.0253,0.0065,0.0425,0.031,-0.0263,0.0887,0.16
mean,S1_3P,7,0.835,0.8245,0.0105,0.0262,0.0085,0.042,0.0344,-0.0249,0.0937,0.145
mean,S1_3P,8,0.8335,0.8245,0.009,0.0322,0.015,0.0485,0.0409,-0.0142,0.0949,0.075
mean,S1_3P,9,0.8345,0.8245,0.01,0.0328,0.0155,0.048,0.0406,-0.0147,0.0932,0.07
mean,S1_3P,10,0.834,0.8245,0.0095,0.0329,0.0155,0.0485,0.0414,-0.0091,0.0942,0.06
mean,S1_3P,11,0.8375,0.8245,0.013,0.036,0.019,0.0505,0.0443,-0.0056,0.1006,0.06
mean,S1_3P,12,0.8335,0.8245,0.009,0.0319,0.0165,0.0475,0.0403,-0.012,0.0982,0.075
mean,S1_3P,13,0.8315,0.8245,0.007,0.0288,0.0125,0.045,0.038,-0.0152,0.0972,0.11
mean,S1_3P,14,0.834,0.8245,0.0095,0.0294,0.012,0.0465,0.0388,-0.0136,0.0975,0.095
mean,S1_3P,15,0.837,0.8245,0.0125,0.0311,0.0125,0.0471,0.0413,-0.0118,0.0987,0.085
mean,S1_3P,16,0.837,0.8245,0.0125,0.0309,0.014,0.0495,0.0422,-0.0132,0.1022,0.08
mean,S1_3P,17,0.832,0.8245,0.0075,0.0281,0.012,0.045,0.0385,-0.0153,0.1,0.11
mean,S1_3P,18,0.8355,0.8245,0.011,0.0262,0.0095,0.043,0.0351,-0.0178,0.0929,0.135
mean,S1_3P,19,0.8275,0.8245,0.003,0.0249,0.0065,0.0415,0.0332,-0.0178,0.0894,0.135
mean,S1_3P,20,0.8385,0.8245,0.014,0.0301,0.0125,0.0461,0.039,-0.0146,0.0963,0.095
mean,S1_3P,21,0.8555,0.8245,0.031,0.0451,0.029,0.062,0.0533,0.0008,0.1093,0.025
mean,S1_3P,22,0.851,0.8245,0.0265,0.0424,0.027,0.059,0.0515,0.0014,0.1072,0.02
mean,S1_3P,23,0.851,0.8245,0.0265,0.0422,0.0264,0.0575,0.0502,-0.0044,0.1082,0.04
mean,S1_3P,24,0.842,0.8245,0.0175,0.0365,0.0195,0.053,0.0433,-0.0148,0.1006,0.06
mean,S1_3P,25,0.8485,0.8245,0.024,0.0392,0.0225,0.056,0.0462,-0.0096,0.1019,0.06
mean,S1_3P,26,0.8985,0.8245,0.074,0.0767,0.0555,0.0945,0.0656,0.0043,0.1279,0.015
mean,S1_3P,27,0.886,0.8245,0.0615,0.0591,0.034,0.08,0.0424,-0.0252,0.1131,0.14
mean,S2_1P,0,0.8865,0.8715,0.015,0.0144,-0.0,0.0315,0.0364,-0.0055,0.0933,0.065
mean,S2_1P,1,0.8655,0.8715,-0.006,-0.0058,-0.0245,0.0135,0.0246,-0.0256,0.0873,0.165
mean,S2_1P,2,0.862,0.8715,-0.0095,-0.0073,-0.0265,0.011,0.0237,-0.0208,0.0866,0.19
mean,S2_1P,3,0.8815,0.8715,0.01,0.0146,-0.0045,0.0325,0.044,-0.0049,0.1104,0.05
mean,S2_1P,4,0.8855,0.8715,0.014,0.0277,0.008,0.0465,0.0582,0.0051,0.1164,0.02
mean,S2_1P,5,0.8875,0.8715,0.016,0.0248,0.0055,0.0425,0.0534,-0.0067,0.1079,0.035
mean,S2_1P,6,0.8825,0.8715,0.011,0.0197,-0.002,0.039,0.048,-0.0125,0.1085,0.05
mean,S2_1P,7,0.878,0.8715,0.0065,0.0185,-0.0006,0.038,0.0488,-0.0114,0.1055,0.06
mean,S2_1P,8,0.883,0.8715,0.0115,0.0228,0.0034,0.043,0.0551,-0.0045,0.1125,0.035
mean,S2_1P,9,0.879,0.8715,0.0075,0.0175,-0.0021,0.038,0.0512,-0.0037,0.1143,0.055
mean,S2_1P,10,0.8945,0.8715,0.023,0.0282,0.009,0.046,0.0599,0.0032,0.1196,0.025
mean,S2_1P,11,0.893,0.8715,0.0215,0.026,0.0045,0.045,0.0578,-0.0022,0.122,0.03
mean,S2_1P,12,0.888,0.8715,0.0165,0.0234,0.0025,0.0435,0.0542,-0.0011,0.1148,0.035
mean,S2_1P,13,0.883,0.8715,0.0115,0.0203,-0.0,0.039,0.0532,-0.0047,0.1174,0.045
mean,S2_1P,14,0.887,0.8715,0.0155,0.0221,0.0,0.0425,0.055,-0.0039,0.1201,0.045
mean,S2_1P,15,0.8915,0.8715,0.02,0.0289,0.008,0.049,0.0625,0.0044,0.1261,0.015
mean,S2_1P,16,0.8915,0.8715,0.02,0.0287,0.0095,0.0495,0.0619,0.0001,0.1263,0.025
mean,S2_1P,17,0.8845,0.8715,0.013,0.0244,0.0045,0.0455,0.0578,-0.001,0.1239,0.03
mean,S2_1P,18,0.8825,0.8715,0.011,0.0218,0.002,0.042,0.0541,-0.0101,0.1181,0.045
mean,S2_1P,19,0.887,0.8715,0.0155,0.0276,0.0075,0.0495,0.06,-0.0032,0.1208,0.03
mean,S2_1P,20,0.9065,0.8715,0.035,0.0423,0.023,0.062,0.0737,0.0107,0.1403,0.02
mean,S2_1P,21,0.918,0.8715,0.0465,0.0525,0.0325,0.0706,0.0834,0.0224,0.147,0.015
mean,S2_1P,22,0.907,0.8715,0.0355,0.0445,0.025,0.0655,0.0761,0.0105,0.1415,0.02
mean,S2_1P,23,0.911,0.8715,0.0395,0.0484,0.026,0.069,0.0799,0.0152,0.1389,0.01
mean,S2_1P,24,0.9055,0.8715,0.034,0.0454,0.0234,0.066,0.0764,0.0093,0.1352,0.015
mean,S2_1P,25,0.903,0.8715,0.0315,0.0437,0.0225,0.0635,0.074,0.0125,0.1336,0.015
mean,S2_1P,26,0.912,0.8715,0.0405,0.0535,0.0339,0.0745,0.0968,0.0329,0.1648,0.0
mean,S2_1P,27,0.8975,0.8715,0.026,0.0377,0.0155,0.0595,0.0907,0.0257,0.1574,0.005
mean,S2_3P,0,0.867,0.882,-0.015,-0.0103,-0.025,0.007,0.0263,-0.0236,0.0803,0.165
mean,S2_3P,1,0.8645,0.882,-0.0175,-0.0169,-0.035,-0.0019,0.0193,-0.0315,0.0918,0.3
mean,S2_3P,2,0.864,0.882,-0.018,-0.0175,-0.036,0.0,0.0188,-0.0417,0.0961,0.28
mean,S2_3P,3,0.88,0.882,-0.002,0.0016,-0.0171,0.0215,0.038,-0.015,0.1067,0.125
mean,S2_3P,4,0.887,0.882,0.005,0.0132,-0.0046,0.0305,0.0474,-0.0037,0.1113,0.05
mean,S2_3P,5,0.893,0.882,0.011,0.0102,-0.01,0.027,0.0445,-0.0104,0.1148,0.065
mean,S2_3P,6,0.8865,0.882,0.0045,0.0111,-0.0075,0.0285,0.0436,-0.0134,0.1072,0.085
mean,S2_3P,7,0.888,0.882,0.006,0.0152,-0.004,0.0325,0.0483,-0.0135,0.1136,0.07
mean,S2_3P,8,0.889,0.882,0.007,0.0165,-0.002,0.0325,0.0504,-0.0083,0.1136,0.075
mean,S2_3P,9,0.8885,0.882,0.0065,0.0138,-0.004,0.0305,0.0496,-0.0119,0.1144,0.06
mean,S2_3P,10,0.9005,0.882,0.0185,0.0222,0.005,0.037,0.057,-0.0089,0.1244,0.035
mean,S2_3P,11,0.9035,0.882,0.0215,0.0224,0.0035,0.0375,0.0571,-0.0118,0.1228,0.04
mean,S2_3P,12,0.899,0.882,0.017,0.0183,-0.0015,0.0345,0.0531,-0.0134,0.1216,0.055
mean,S2_3P,13,0.901,0.882,0.019,0.0183,-0.001,0.0335,0.0542,-0.0099,0.1234,0.035
mean,S2_3P,14,0.897,0.882,0.015,0.0146,-0.004,0.0285,0.0506,-0.0139,0.1195,0.07
mean,S2_3P,15,0.8985,0.882,0.0165,0.0188,-0.0005,0.0335,0.0544,-0.0145,0.1247,0.045
mean,S2_3P,16,0.898,0.882,0.016,0.0166,-0.0015,0.0335,0.0519,-0.0145,0.1249,0.06
mean,S2_3P,17,0.8945,0.882,0.0125,0.0142,-0.0046,0.0295,0.0504,-0.015,0.1202,0.07
mean,S2_3P,18,0.885,0.882,0.003,0.0098,-0.0096,0.024,0.0469,-0.0192,0.1184,0.08
mean,S2_3P,19,0.8935,0.882,0.0115,0.0163,-0.0015,0.031,0.053,-0.0073,0.1235,0.06
mean,S2_3P,20,0.9015,0.882,0.0195,0.0226,0.0035,0.0375,0.0593,-0.0031,0.1272,0.045
mean,S2_3P,21,0.9065,0.882,0.0245,0.0319,0.0125,0.0485,0.0656,0.0021,0.1328,0.015
mean,S2_3P,22,0.9005,0.882,0.0185,0.0262,0.006,0.0425,0.0595,-0.0086,0.1278,0.05
mean,S2_3P,23,0.9045,0.882,0.0225,0.0291,0.0075,0.046,0.0602,-0.0039,0.1295,0.045
mean,S2_3P,24,0.901,0.882,0.019,0.0279,0.0065,0.044,0.0577,-0.0102,0.1266,0.065
mean,S2_3P,25,0.899,0.882,0.017,0.027,0.0055,0.0435,0.0568,-0.0131,0.1212,0.07
mean,S2_3P,26,0.8975,0.882,0.0155,0.0249,0.0074,0.043,0.0769,0.0209,0.1398,0.0
mean,S2_3P,27,0.893,0.882,0.011,0.0205,-0.0,0.037,0.0623,-0.0007,0.1173,0.03
